# Cluster	RA	Dec	z_spec	z_phot	zSource	Instrument/Telescope	Exposure Time
MACS-J2241.8+1732	22:41:56.35	+17:32:29.33	0.3137	...	(23)	WHT/LIRIS	2700.0
MACS-J2243.3-0935	22:43:21.58	-09:35:43.37	0.450	...	(3)	WHT/LIRIS	2700.0
CL2244	22:47:13.38	-02:05:41.40	0.328	...	(23)	SofI/NTT	3600
MACS-J2248.7-4431	22:48:43.99	-44:31:51.1	0.3475	...	(23)	SofI/NTT	2700
ACT-CL-J2253.3-0031	22:53:24.20	+00:30:30.8	...	0.54	(4)	NTT/SofI	2700.0
AC114	22:58:56.33	-34:45:40.4	0.313	...	(4)	SofI/NTT	2700
ACT-CL-J2302.5+0002	23:02:36.27	+00:02:39.4	0.520	...	(9)	NTT/SofI	2700.0
Abell2552	23:11:33.23	+03:38:04.72	0.302	...	(25)	WHT/LIRIS	2130.0
C1G-J231215.6+035307	23:12:17.05	+03:53:14.9	0.648	...	(21)	WHIRC/WIYN	32400
C1G-J231520.6+090711	23:15:20.57	+09:07:11.9	...	0.725	(21)	WHIRC/WIYN	32400
Abell2631	23:37:39.73	+00:16:16.90	0.273	...	(12)	WHIRC/WIYN	32400
ACT-CL-J2351.7+0009	23:51:44.59	+00:09:17.78	...	0.99	(3)	WHT/LIRIS	2700.0
